id,merchant_id,buyer_id,transaction_timestamp,payment_amount,chargeback_timestamp
d7954187-5ea3-440d-b2a4-c8251d5b9f14,6a5613d1-78df-4c4e-8361-9caf6719c09d,5af7a672-f2d2-47f6-9331-6cd4f9fc799e,2023-04-19 22:26:08,6352,
bebcab52-e657-49c5-a9a4-6782cfa5b00a,b944baa7-a19b-45b1-968e-8a1c717d466c,5d282998-6370-4e7d-a8a8-134aaec4b582,2023-10-01 08:18:18,2810,
9db7e8c6-1d9e-4e1d-9b96-258fd922e442,67950740-b25a-498b-aeb2-bbfec376c7a3,b8a4923d-a53b-4979-a529-1c45a062427d,2023-08-03 02:38:24,5226,
5601c3df-da2f-415a-b3cb-66226f5557f6,76bb82e8-a76b-4201-b9a4-5e83153bf791,9f9b63b9-8c46-4ec0-8c2f-98c8d23fd8fa,2023-08-16 02:31:04,725,
0b26804d-1c94-4399-89f5-1ba61c1db428,6d00b6c6-c12b-4850-b0d2-1e71ef175e0d,f6174132-7223-4e08-b053-50a83c875795,2023-08-05 20:51:14,2437,
7b3d1359-eead-433c-a8f1-320e65df71bf,5d0c3424-f14f-4329-8561-7f456f590a1b,25875de8-474b-49a5-8f3e-c52a11516165,2023-09-18 15:34:20,21177,2023-10-01 21:11:09.340124
7cfcbef8-ed1f-4d26-857e-77ea51a3bf9d,ede6fd50-d1db-412c-9479-b181dce7febf,35830114-b813-4c66-8d60-39c74ff2a662,2023-03-07 22:37:15,949,2023-03-10 21:20:38.457907
27f15213-c42f-4efc-b5eb-db0f82747784,061e7a1f-9ccd-4651-8940-abdae436d18e,862c598c-6bc1-4237-9a82-1de978919141,2023-05-03 19:57:24,1545,2023-05-23 03:00:50.777448
f7b4a5d6-112b-4b06-b21d-db356e58d8fe,b58cfc43-278e-4d7f-8c20-6df888ca383f,bba69c4a-7af9-49b1-a86a-5e4b7d7ce773,2023-07-23 00:21:07,19149,
1d9143f9-f29b-4287-90b8-c131009053ac,e505c9fe-24b0-446c-8a6b-09d06cd936dc,b11977d5-0bbd-404f-9642-f743f3ebfd4c,2023-07-05 05:06:43,2127,2023-07-14 22:22:58.020557
3f17ad33-0721-43d4-b591-7df1e88a8fd0,218bd30b-e75f-473a-8190-b06f02ba330f,b711d22e-6573-42d5-a29c-ace84385f31c,2023-05-28 21:33:24,7397,
dde79701-bd96-4ff0-b5c8-ea01d46addbc,baca9367-6430-41a3-b33d-81b63ff4d5c1,99aed864-2311-48f2-81e8-4f15a86bda0a,2023-06-23 07:54:11,1455,
76128951-a993-472c-9755-cf443d0c343e,5579f987-b914-44a4-bcdc-9fcaabeea43d,4bd5af63-e64f-4c44-ad6e-af1387a177b9,2023-05-09 09:30:06,485,
2203c102-e2c4-4a71-8e78-a8f6bd877a81,ede6fd50-d1db-412c-9479-b181dce7febf,de79206f-2419-4db3-b7fb-57f474c00152,2023-09-15 09:36:43,914,
65adab2f-f34c-4f54-8676-692190ad05a6,9e143dfe-fc34-4931-b39b-d1593579d9d4,4cb9740e-a0d1-4f7d-9c99-40c53f306c6c,2023-05-11 19:11:27,255,
5d14463f-57b0-410b-9a10-3cc504d873d1,556856b1-2d96-4a5f-82b9-d9512617a13c,b220127f-b299-4202-86eb-c641a4a50762,2023-05-14 14:32:49,1326,2023-06-10 13:42:31.619025
606e7af2-fe15-48ef-bff9-06100bb034bd,b58cfc43-278e-4d7f-8c20-6df888ca383f,3a462022-7f5e-4045-b0b2-4eb8c256e8f9,2023-07-09 07:29:33,173,2023-07-15 11:24:05.879588
79a420b4-26b2-403b-a5b2-2cec5af6cfbc,76bb82e8-a76b-4201-b9a4-5e83153bf791,538ca168-ecba-4b9a-ab3b-fa75fa652749,2023-04-04 22:22:09,2437,
